pair_id,orth_sim,phon_sim,sem_sim,semantic_imputed,label
P000000,1.000000,1.000000,0.675802,False,false_friend
P000001,0.000000,0.213462,0.626852,False,unrelated
P000002,0.875000,0.972028,0.868903,False,cognate
P000003,0.833333,1.000000,0.588250,False,false_friend
P000004,0.000000,0.407692,0.608646,False,unrelated
P000005,0.214286,0.295547,0.677998,False,unrelated
P000006,0.833333,0.806410,0.958831,False,cognate
P000007,0.800000,0.966667,0.851679,False,cognate
P000008,0.636364,0.771429,0.904903,False,cognate
P000009,0.058824,0.217004,0.762981,False,unrelated
P000010,0.111111,0.247041,0.546959,False,unrelated
P000011,0.833333,1.000000,0.775055,False,false_friend
P000012,0.833333,0.777778,0.598093,False,false_friend
P000013,0.833333,0.808791,0.662489,False,false_friend
P000014,0.166667,0.222222,0.590093,False,unrelated
P000015,0.333333,0.275824,0.976126,False,unrelated
P000016,0.833333,0.977778,0.585179,False,cognate
P000017,0.947368,0.988604,0.699786,False,cognate
P000018,0.857143,0.818182,0.841819,False,cognate
P000019,0.833333,1.000000,0.966648,False,cognate
P000020,0.666667,0.621368,0.976907,False,cognate
P000021,0.888889,0.985714,1.000000,False,cognate
P000022,0.100000,0.182051,0.898396,False,unrelated
P000023,0.833333,0.806410,0.753336,False,cognate
P000024,1.000000,1.000000,0.631106,False,false_friend
P000025,0.090909,0.276923,0.984425,False,unrelated
P000026,0.300000,0.479121,0.903343,False,unrelated
P000027,0.900000,0.843956,0.801753,False,cognate
P000028,0.125000,0.283916,0.748487,False,unrelated
P000029,1.000000,1.000000,0.810383,False,cognate
P000030,1.000000,1.000000,0.903075,False,cognate
P000031,0.857143,0.981818,0.882845,False,cognate
P000032,0.500000,0.434799,0.883914,False,cognate
P000033,0.833333,0.977778,1.000000,False,cognate
P000034,0.631579,0.730178,0.866411,False,cognate
P000035,1.000000,1.000000,0.975342,False,cognate
P000036,1.000000,1.000000,0.732435,False,false_friend
P000037,0.166667,0.280513,0.936675,False,unrelated
P000038,0.000000,0.084615,0.789678,False,unrelated
P000039,0.250000,0.384615,0.672762,False,unrelated
B000000,0.857143,0.965812,0.733771,False,cognate
B000001,0.111111,0.142308,0.645269,False,unrelated
B000002,0.200000,0.233077,0.637568,False,unrelated
B000003,0.250000,0.532308,0.558315,False,unrelated
B000004,0.833333,0.876923,0.638869,False,cognate
B000005,0.846154,0.834066,0.622637,False,cognate
B000006,0.888889,0.857143,0.720739,False,cognate
B000007,0.190476,0.203419,0.759308,False,unrelated
B000008,0.076923,0.349573,0.556151,False,unrelated
B000009,0.666667,0.756308,0.718820,False,cognate
B000010,0.300000,0.243590,0.667044,False,unrelated
B000011,0.111111,0.211538,0.818165,False,unrelated
B000012,0.083333,0.261538,0.734438,False,unrelated
B000013,0.142857,0.417692,0.789545,False,unrelated
B000014,1.000000,1.000000,0.752660,False,cognate
B000015,0.833333,0.948718,0.587161,False,cognate
B000016,0.125000,0.269822,0.672224,False,unrelated
B000017,1.000000,1.000000,0.850503,False,cognate
B000018,0.900000,0.843956,0.791804,False,false_friend
B000019,0.727273,0.906593,0.706955,False,cognate
B000020,0.909091,0.978022,0.549994,False,cognate
B000021,0.857143,0.981900,0.644277,False,cognate
B000022,0.250000,0.180128,0.764261,False,unrelated
B000023,0.833333,0.777778,0.544968,False,cognate
B000024,0.111111,0.285256,0.829433,False,unrelated
B000025,0.166667,0.270879,0.567786,False,unrelated
B000026,0.750000,0.781538,0.678958,False,cognate
B000027,0.363636,0.605128,0.621715,False,unrelated
B000028,0.916667,0.980769,0.617587,False,cognate
B000029,1.000000,1.000000,0.687249,False,cognate
B000030,0.857143,1.000000,0.827667,False,cognate
B000031,0.722222,0.772436,0.637516,False,cognate
B000032,0.818182,0.821978,0.606233,False,cognate
B000033,0.600000,0.753846,0.565128,False,cognate
B000034,0.157895,0.227692,0.513687,False,unrelated
B000035,1.000000,1.000000,0.749933,False,cognate
B000036,0.454545,0.364286,0.641839,False,cognate
B000037,0.800000,0.798718,0.761799,False,cognate
B000038,0.000000,0.030769,0.537071,False,unrelated
B000039,0.636364,0.668778,0.707995,False,cognate
